"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JesseBenn: I've seen people say if #WalterScott didn't run he'd still be alive. This is wrong. If #MichaelSlager didn't murder him he'd…",FALSE,0,NA,2015-04-10 01:49:18,FALSE,NA,"586345177096130560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_jayronnn",632,TRUE,FALSE,NA,NA
"2","RT @HillaryClinton: Praying for #WalterScott's family. Heartbreaking &amp; too familiar. We can do better - rebuild trust, reform justice syste…",FALSE,0,NA,2015-04-10 01:49:17,FALSE,NA,"586345172708921345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tragic_Muppet",4381,TRUE,FALSE,NA,NA
"3","RT @JohnCTownsend: Powerful cartoon from @laloalcaraz. #WalterScott http://t.co/ETMnGIVGQY",FALSE,0,NA,2015-04-10 01:49:16,FALSE,NA,"586345169227800576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cristianafarias",204,TRUE,FALSE,NA,NA
"4","I had to ask the restaurant staff to turn off the continuous replay of the murder of #WalterScott today.  https://t.co/UB9uEdRPAT",FALSE,0,NA,2015-04-10 01:49:16,FALSE,NA,"586345166811856896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rozellahw",0,FALSE,FALSE,NA,NA
"5","RT @IlllIllIl: This is a cop ""fearing for his life"" #WalterScott #FTP
http://t.co/a7gOooCz6C",FALSE,0,NA,2015-04-10 01:49:15,FALSE,NA,"586345163397660673",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","neo_fenix",969,TRUE,FALSE,NA,NA
"6","RT @iJesseWilliams: .@Indiegogo: Remove ALL Michael Slager fundraisers from your platform immediately http://t.co/9MmSlsVwLx  via @colorofc…",FALSE,0,NA,2015-04-10 01:49:14,FALSE,NA,"586345159685763072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","babengalsfan",298,TRUE,FALSE,NA,NA
"7","RT @akacharleswade: #WalterScott should be alive. Period. Should he have been arrested? Maybe. But he should be alive. Done. And done.",FALSE,0,NA,2015-04-10 01:49:13,FALSE,NA,"586345156883812352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TXCatelin",62,TRUE,FALSE,NA,NA
"8","RT @Jason_Pollock: Mad props to Time Magazine for making this their cover. Powerful stuff. #BlackLivesMatter #WalterScott #Every28Hours htt…",FALSE,0,NA,2015-04-10 01:49:13,FALSE,NA,"586345156208623617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CathsTake",84,TRUE,FALSE,NA,NA
"9","Walter Scott’s Brother: ‘I’m Broken' #WalterScott http://t.co/TwjU8TjCmq",FALSE,0,NA,2015-04-10 01:49:12,FALSE,NA,"586345150231617536",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","tllanes",0,FALSE,FALSE,NA,NA
"10","RT @Bipartisanism: Remember. You don't have to be black to feel outraged. #WalterScott http://t.co/SQepsZe8Q8",FALSE,0,NA,2015-04-10 01:49:11,FALSE,NA,"586345145802432513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stargirl180",220,TRUE,FALSE,NA,NA
"11","RT @splcenter: Not only #WalterScott: North Charleston Police Dept has a shocking record of abuse allegations http://t.co/S2I5slDeVh http:/…",FALSE,0,NA,2015-04-10 01:49:10,FALSE,NA,"586345142912737280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stormydessert",474,TRUE,FALSE,NA,NA
"12","@NYDailyNews NO RACE BAITING, MAKES GOOD SENSE. SHOW THE FAMILY OUR SUPPORT. #FERGUSON THIS HOW CIVILIZED PPL ACT #WalterScott #OneNation",FALSE,0,"NYDailyNews",2015-04-10 01:49:09,FALSE,"586315604354867201","586345140706357248","9763482","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jillian2u2",0,FALSE,FALSE,NA,NA
